"Date","Price","Open","High","Low","Vol.","Change %"
"23/05/2025","41,603.07","41,525.70","41,788.61","41,354.09","497.07M","-0.61%"
"22/05/2025","41,859.09","41,763.68","42,090.42","41,714.43","476.08M","0.00%"
"21/05/2025","41,860.44","42,354.46","42,439.27","41,785.22","607.90M","-1.91%"
"20/05/2025","42,677.24","42,735.11","42,800.04","42,485.37","441.54M","-0.27%"
"19/05/2025","42,792.07","42,542.81","42,842.04","42,337.71","536.84M","0.32%"
"16/05/2025","42,654.74","42,356.20","42,663.68","42,232.56","621.26M","0.78%"
"15/05/2025","42,322.75","41,777.98","42,351.42","41,777.98","736.43M","0.65%"
"14/05/2025","42,051.06","42,150.09","42,254.75","41,952.86","660.23M","-0.21%"
"13/05/2025","42,140.43","42,507.33","42,507.33","42,132.04","729.87M","-0.64%"
"12/05/2025","42,410.10","41,899.05","42,418.05","41,899.05","653.82M","2.81%"
"09/05/2025","41,249.38","41,405.48","41,512.43","41,150.73","373.94M","-0.29%"
"08/05/2025","41,368.45","41,312.57","41,773.22","41,167.76","514.86M","0.62%"
"07/05/2025","41,113.97","40,956.08","41,266.91","40,829.29","533.87M","0.70%"
"06/05/2025","40,829.00","41,000.19","41,164.33","40,759.41","416.11M","-0.95%"
"05/05/2025","41,218.83","41,173.38","41,445.91","41,063.44","418.69M","-0.24%"
"02/05/2025","41,317.43","40,960.42","41,386.19","40,960.42","589.87M","1.39%"
"01/05/2025","40,752.96","40,918.04","41,099.52","40,705.63","597.28M","0.21%"
"30/04/2025","40,669.36","40,290.41","40,777.16","39,745.63","609.37M","0.35%"
"29/04/2025","40,527.62","40,233.98","40,630.49","40,222.18","434.83M","0.75%"
"28/04/2025","40,227.59","40,171.74","40,414.18","39,869.10","479.41M","0.28%"
